Iteration,Main DB Total Rows,Synopsis Total Rows,Scaling Factor,Main DB Count,Synopsis Count,Main DB Time (ms),Synopsis DB Time (ms),Speed (x),Estimated Count,Accuracy (%),Absolute Error,Relative Error (%)
1,6000003,78000,0.01,4199935,54664,629.81,9.07,69.42,4204923,99.88,4990.18,0.12
2,6000003,78000,0.01,4199935,54664,633.07,9.01,70.30,4204923,99.88,4990.18,0.12
3,6000003,78000,0.01,4199935,54664,635.51,9.03,70.38,4204923,99.88,4990.18,0.12
4,6000003,78000,0.01,4199935,54664,625.91,8.72,71.79,4204923,99.88,4990.18,0.12
5,6000003,78000,0.01,4199935,54664,631.37,9.42,67.04,4204923,99.88,4990.18,0.12
6,6000003,78000,0.01,4199935,54664,631.06,9.42,67.01,4204923,99.88,4990.18,0.12
7,6000003,78000,0.01,4199935,54664,625.61,8.74,71.60,4204923,99.88,4990.18,0.12
8,6000003,78000,0.01,4199935,54664,629.86,8.78,71.75,4204923,99.88,4990.18,0.12
9,6000003,78000,0.01,4199935,54664,625.86,14.16,44.21,4204923,99.88,4990.18,0.12
10,6000003,78000,0.01,4199935,54664,626.78,8.78,71.40,4204923,99.88,4990.18,0.12
